id,sales_date,producto,cantidad,precio_unitario,sales_amount
41,2025-01-08,Clavos (kg),1,2800,3007.49
42,2025-01-08,Llave inglesa,5,3500,17881.4
43,2025-01-08,Taladro,3,35000,110512.73
44,2025-01-08,Clavos (kg),5,2800,15171.78
45,2025-01-08,Tornillos (caja),3,1200,3591.8
46,2025-01-08,Destornillador,3,1800,5809.02
47,2025-01-09,Pinza,1,2200,2085.98
48,2025-01-09,Tornillos (caja),1,1200,1100.56
49,2025-01-09,Nivel,1,4200,4601.51
50,2025-01-09,Clavos (kg),2,2800,5183.8
51,2025-01-09,Nivel,5,4200,19593.53
52,2025-01-09,Clavos (kg),5,2800,13784.79
53,2025-01-09,Pinza,5,2200,11561.58
54,2025-01-10,Llave inglesa,4,3500,15386.42
55,2025-01-10,Sierra,4,5800,25054.21
56,2025-01-10,Nivel,1,4200,3988.24
57,2025-01-10,Destornillador,3,1800,4882.72
58,2025-01-10,Clavos (kg),2,2800,5699.05
59,2025-01-10,Martillo,1,4500,4687.06
60,2025-01-11,Pinza,1,2200,2378.38
61,2025-01-11,Sierra,1,5800,5816.42
62,2025-01-11,Llave inglesa,4,3500,13199.86
63,2025-01-12,Tornillos (caja),5,1200,5967.21
64,2025-01-12,Nivel,4,4200,15759.78
65,2025-01-12,Destornillador,4,1800,6990.19
66,2025-01-12,Cinta métrica,4,1500,6436.6
67,2025-01-12,Martillo,1,4500,4104.55
68,2025-01-13,Destornillador,2,1800,3377.94
69,2025-01-13,Clavos (kg),4,2800,10394.01
70,2025-01-13,Taladro,3,35000,104215.19
71,2025-01-13,Destornillador,4,1800,7643.55
72,2025-01-13,Clavos (kg),1,2800,2548.33
73,2025-01-13,Clavos (kg),1,2800,3062.64
74,2025-01-13,Pinza,2,2200,4317.64
75,2025-01-13,Nivel,2,4200,9012.61
76,2025-01-14,Taladro,4,35000,126060.35
77,2025-01-14,Cinta métrica,3,1500,4883.87
78,2025-01-14,Nivel,3,4200,12405.98
79,2025-01-15,Nivel,2,4200,7879.03
80,2025-01-15,Pinza,1,2200,2234.84
81,2025-01-15,Clavos (kg),1,2800,2938.87
82,2025-01-15,Martillo,1,4500,4575.76
83,2025-01-15,Clavos (kg),5,2800,13040.81
84,2025-01-15,Clavos (kg),1,2800,2996.75
85,2025-01-15,Destornillador,5,1800,8222.33
86,2025-01-15,Pinza,4,2200,8131.0
87,2025-01-15,Tornillos (caja),2,1200,2437.88
88,2025-01-15,Martillo,5,4500,20618.93
89,2025-01-15,Tornillos (caja),5,1200,6027.34
90,2025-01-16,Pinza,3,2200,6255.07
91,2025-01-16,Cinta métrica,2,1500,3103.01
92,2025-01-16,Llave inglesa,4,3500,13485.3
93,2025-01-16,Destornillador,1,1800,1784.98
94,2025-01-16,Tornillos (caja),1,1200,1097.58
95,2025-01-16,Pinza,5,2200,10483.44
96,2025-01-16,Sierra,1,5800,6239.95
97,2025-01-17,Llave inglesa,2,3500,6913.46
98,2025-01-17,Clavos (kg),3,2800,8587.62
99,2025-01-17,Clavos (kg),1,2800,2894.0
100,2025-01-17,Clavos (kg),3,2800,9125.35
101,2025-01-17,Destornillador,2,1800,3430.42
102,2025-01-17,Destornillador,5,1800,8379.81
103,2025-01-17,Llave inglesa,5,3500,16487.2
104,2025-01-17,Sierra,2,5800,12034.99
105,2025-01-18,Clavos (kg),4,2800,10642.51
106,2025-01-18,Martillo,1,4500,4620.86
107,2025-01-18,Llave inglesa,1,3500,3152.48
108,2025-01-18,Taladro,3,35000,97893.22
109,2025-01-18,Nivel,5,4200,21863.8
110,2025-01-18,Clavos (kg),1,2800,2582.65
111,2025-01-18,Taladro,5,35000,158760.98
112,2025-01-19,Tornillos (caja),5,1200,5577.71
113,2025-01-19,Taladro,1,35000,33657.81
114,2025-01-19,Martillo,3,4500,12717.21
115,2025-01-19,Pinza,1,2200,2135.62
116,2025-01-19,Clavos (kg),4,2800,12261.39
117,2025-01-19,Taladro,2,35000,75104.48
118,2025-01-19,Taladro,4,35000,126694.02
119,2025-01-19,Sierra,4,5800,24602.37
120,2025-01-20,Llave inglesa,2,3500,7402.32
121,2025-01-20,Destornillador,4,1800,7735.92
122,2025-01-20,Nivel,2,4200,7895.28
123,2025-01-20,Nivel,3,4200,12109.08
124,2025-01-20,Pinza,2,2200,3980.82
125,2025-01-20,Pinza,4,2200,8497.74
126,2025-01-21,Llave inglesa,3,3500,10797.11
127,2025-01-21,Cinta métrica,5,1500,7246.72
128,2025-01-21,Martillo,1,4500,4839.33
129,2025-01-21,Llave inglesa,2,3500,7112.83
130,2025-01-22,Martillo,1,4500,4586.91
131,2025-01-22,Sierra,3,5800,17178.65
132,2025-01-22,Clavos (kg),1,2800,2735.71
133,2025-01-22,Tornillos (caja),2,1200,2282.27
134,2025-01-22,Cinta métrica,1,1500,1505.98
135,2025-01-22,Clavos (kg),2,2800,5447.93
136,2025-01-22,Destornillador,3,1800,5533.01
137,2025-01-23,Llave inglesa,5,3500,16832.5
138,2025-01-23,Cinta métrica,3,1500,4412.16
139,2025-01-23,Llave inglesa,5,3500,16195.51
140,2025-01-23,Cinta métrica,4,1500,6212.78
141,2025-01-24,Tornillos (caja),5,1200,5761.14
142,2025-01-24,Clavos (kg),1,2800,2690.17
143,2025-01-24,Pinza,4,2200,9302.94
144,2025-01-24,Tornillos (caja),3,1200,3574.79
145,2025-01-24,Nivel,2,4200,8418.77
146,2025-01-25,Destornillador,3,1800,5416.69
147,2025-01-25,Tornillos (caja),3,1200,3307.24
148,2025-01-25,Pinza,3,2200,6236.53
149,2025-01-25,Pinza,2,2200,3981.49
150,2025-01-25,Pinza,4,2200,8995.84
151,2025-01-26,Nivel,4,4200,18097.42
152,2025-01-26,Tornillos (caja),2,1200,2504.81
153,2025-01-26,Cinta métrica,4,1500,5879.58
154,2025-01-26,Taladro,1,35000,37748.62
155,2025-01-27,Cinta métrica,2,1500,2805.53
156,2025-01-27,Clavos (kg),4,2800,10192.49
157,2025-01-27,Pinza,1,2200,2180.84
158,2025-01-27,Nivel,5,4200,23049.15
159,2025-01-28,Sierra,4,5800,23722.71
160,2025-01-28,Clavos (kg),4,2800,11940.47
161,2025-01-28,Clavos (kg),4,2800,12089.75
162,2025-01-28,Nivel,4,4200,15990.88
163,2025-01-28,Pinza,3,2200,6950.87
164,2025-01-28,Clavos (kg),4,2800,11483.92
165,2025-01-28,Llave inglesa,4,3500,12816.95
166,2025-01-28,Llave inglesa,2,3500,6680.4
167,2025-01-28,Sierra,5,5800,26567.35
168,2025-01-28,Taladro,2,35000,68362.49
169,2025-01-28,Taladro,2,35000,63899.2
170,2025-01-28,Cinta métrica,3,1500,4538.35
171,2025-01-29,Martillo,2,4500,9599.2
172,2025-01-29,Cinta métrica,5,1500,8169.09
173,2025-01-29,Martillo,5,4500,21961.71
174,2025-01-29,Martillo,3,4500,12956.25
175,2025-01-29,Cinta métrica,4,1500,6045.86
176,2025-01-29,Clavos (kg),5,2800,15113.87
177,2025-01-29,Nivel,2,4200,8018.53
178,2025-01-29,Nivel,1,4200,4106.64
179,2025-01-29,Cinta métrica,2,1500,3204.3
180,2025-01-30,Tornillos (caja),5,1200,5432.36
181,2025-01-30,Cinta métrica,5,1500,7596.59
182,2025-01-30,Martillo,1,4500,4628.47
183,2025-01-30,Taladro,4,35000,131088.41
184,2025-01-30,Llave inglesa,4,3500,13516.59
185,2025-01-31,Sierra,3,5800,18309.08
186,2025-01-31,Cinta métrica,3,1500,4726.81
187,2025-01-31,Cinta métrica,3,1500,4801.42
188,2025-01-31,Nivel,1,4200,4409.18
189,2025-01-31,Martillo,3,4500,12755.4
190,2025-01-31,Destornillador,1,1800,1891.52
191,2025-01-31,Pinza,2,2200,4698.52
192,2025-01-31,Tornillos (caja),2,1200,2274.5
193,2025-01-31,Nivel,1,4200,4253.73
194,2025-01-31,Pinza,4,2200,9151.06
195,2025-02-01,Taladro,5,35000,178753.66
196,2025-02-01,Destornillador,2,1800,3934.6
197,2025-02-01,Destornillador,5,1800,8146.22
198,2025-02-01,Llave inglesa,5,3500,18120.72
199,2025-02-01,Cinta métrica,4,1500,6529.76
200,2025-02-01,Pinza,1,2200,2240.52
201,2025-02-01,Pinza,1,2200,2286.76
202,2025-02-01,Llave inglesa,5,3500,18569.35
203,2025-02-02,Martillo,3,4500,13588.41
204,2025-02-02,Sierra,1,5800,5806.91
205,2025-02-02,Sierra,1,5800,6205.51
206,2025-02-02,Nivel,1,4200,4144.16
207,2025-02-02,Sierra,4,5800,24161.91
208,2025-02-02,Cinta métrica,2,1500,3140.28
209,2025-02-02,Llave inglesa,5,3500,18578.7
210,2025-02-02,Clavos (kg),4,2800,11121.32
211,2025-02-02,Tornillos (caja),3,1200,3472.06
212,2025-02-02,Pinza,1,2200,2102.73
213,2025-02-02,Nivel,2,4200,8820.8
214,2025-02-02,Tornillos (caja),5,1200,6201.83
215,2025-02-03,Martillo,4,4500,19263.43
216,2025-02-03,Taladro,4,35000,131939.36
217,2025-02-03,Llave inglesa,3,3500,10037.28
218,2025-02-03,Tornillos (caja),3,1200,3640.17
219,2025-02-03,Clavos (kg),2,2800,5135.89
220,2025-02-03,Cinta métrica,4,1500,6066.21
221,2025-02-03,Pinza,4,2200,9056.79
222,2025-02-03,Nivel,4,4200,17784.25
223,2025-02-04,Llave inglesa,2,3500,6866.16
224,2025-02-04,Pinza,3,2200,6816.43
225,2025-02-04,Sierra,4,5800,23448.11
226,2025-02-04,Sierra,4,5800,25504.37
227,2025-02-05,Sierra,3,5800,18105.94
228,2025-02-05,Llave inglesa,3,3500,9977.95
229,2025-02-05,Destornillador,2,1800,3467.19
230,2025-02-05,Clavos (kg),2,2800,5254.53
231,2025-02-05,Nivel,3,4200,13165.95
232,2025-02-05,Clavos (kg),5,2800,13392.4
233,2025-02-05,Destornillador,2,1800,3453.3
234,2025-02-05,Sierra,2,5800,11141.26
235,2025-02-05,Clavos (kg),2,2800,5347.23
236,2025-02-05,Martillo,5,4500,21564.61
237,2025-02-05,Taladro,4,35000,128872.45
238,2025-02-06,Tornillos (caja),3,1200,3577.97
239,2025-02-06,Nivel,3,4200,11804.6
240,2025-02-06,Martillo,3,4500,14690.87
241,2025-02-07,Destornillador,1,1800,1764.25
242,2025-02-07,Destornillador,5,1800,9233.0
243,2025-02-07,Martillo,2,4500,8368.56
244,2025-02-07,Tornillos (caja),3,1200,3301.33
245,2025-02-07,Pinza,1,2200,2225.55
246,2025-02-07,Cinta métrica,5,1500,7644.19
247,2025-02-07,Tornillos (caja),2,1200,2532.33
248,2025-02-07,Cinta métrica,4,1500,6490.21
249,2025-02-07,Llave inglesa,5,3500,19215.11
250,2025-02-07,Llave inglesa,5,3500,17923.6
251,2025-02-08,Destornillador,2,1800,3690.37
252,2025-02-08,Llave inglesa,1,3500,3259.94
253,2025-02-08,Taladro,5,35000,160127.27
254,2025-02-08,Martillo,4,4500,17821.81
255,2025-02-08,Tornillos (caja),4,1200,4599.61
256,2025-02-08,Pinza,3,2200,6873.18
257,2025-02-08,Nivel,1,4200,4357.4
258,2025-02-08,Llave inglesa,5,3500,18064.14
259,2025-02-08,Pinza,4,2200,8122.01
260,2025-02-08,Pinza,2,2200,4759.4
261,2025-02-08,Taladro,1,35000,31917.47
262,2025-02-08,Llave inglesa,5,3500,18371.35
263,2025-02-09,Llave inglesa,4,3500,12948.19
264,2025-02-09,Llave inglesa,4,3500,15239.49
265,2025-02-09,Clavos (kg),5,2800,13982.63
266,2025-02-09,Destornillador,5,1800,8171.75
267,2025-02-09,Cinta métrica,3,1500,4593.34
268,2025-02-09,Martillo,1,4500,4256.03
269,2025-02-09,Tornillos (caja),5,1200,6540.94
270,2025-02-09,Llave inglesa,5,3500,15890.81
271,2025-02-09,Taladro,4,35000,140530.99
272,2025-02-09,Nivel,3,4200,11797.35
273,2025-02-09,Tornillos (caja),4,1200,4929.39
274,2025-02-09,Nivel,1,4200,4174.81
275,2025-02-10,Sierra,3,5800,17992.06
276,2025-02-10,Taladro,3,35000,103144.55
277,2025-02-10,Nivel,3,4200,13009.71
278,2025-02-10,Cinta métrica,5,1500,6805.05
279,2025-02-10,Destornillador,3,1800,5132.59
280,2025-02-10,Destornillador,4,1800,7725.47
281,2025-02-10,Martillo,5,4500,22328.89
282,2025-02-10,Martillo,2,4500,9033.19
283,2025-02-10,Tornillos (caja),4,1200,4920.39
284,2025-02-11,Pinza,3,2200,6664.97
285,2025-02-11,Llave inglesa,4,3500,15066.37
286,2025-02-11,Nivel,1,4200,3804.25
287,2025-02-12,Pinza,2,2200,4233.46
288,2025-02-12,Martillo,5,4500,22085.96
289,2025-02-12,Pinza,1,2200,2183.04
290,2025-02-12,Destornillador,2,1800,3598.83
291,2025-02-12,Llave inglesa,5,3500,18218.94
292,2025-02-12,Cinta métrica,4,1500,6576.29
293,2025-02-12,Pinza,4,2200,8890.23
294,2025-02-12,Cinta métrica,2,1500,3253.12
295,2025-02-12,Clavos (kg),2,2800,6007.71
296,2025-02-12,Llave inglesa,4,3500,13551.65
297,2025-02-12,Clavos (kg),3,2800,8938.52
298,2025-02-12,Llave inglesa,3,3500,11208.7
299,2025-02-13,Nivel,2,4200,8310.2
300,2025-02-13,Nivel,3,4200,12177.75
301,2025-02-13,Clavos (kg),4,2800,11099.97
302,2025-02-13,Sierra,2,5800,12715.4
303,2025-02-13,Pinza,5,2200,10742.54
304,2025-02-13,Cinta métrica,1,1500,1445.45
305,2025-02-13,Nivel,4,4200,16417.22
306,2025-02-13,Taladro,4,35000,153015.08
307,2025-02-13,Taladro,5,35000,191287.38
308,2025-02-13,Sierra,1,5800,6234.06
309,2025-02-13,Nivel,1,4200,4221.8
310,2025-02-13,Nivel,1,4200,4386.85
311,2025-02-14,Taladro,1,35000,34786.43
312,2025-02-14,Llave inglesa,3,3500,10758.84
313,2025-02-14,Cinta métrica,1,1500,1605.53
314,2025-02-14,Clavos (kg),4,2800,12217.27
315,2025-02-14,Nivel,5,4200,19050.78
316,2025-02-14,Destornillador,2,1800,3694.44
317,2025-02-14,Llave inglesa,2,3500,7345.47
318,2025-02-14,Cinta métrica,1,1500,1578.11
319,2025-02-14,Destornillador,4,1800,6719.57
320,2025-02-15,Martillo,1,4500,4341.94
321,2025-02-15,Martillo,3,4500,13117.85
322,2025-02-15,Cinta métrica,2,1500,2846.52
323,2025-02-15,Cinta métrica,5,1500,7772.7
324,2025-02-15,Taladro,2,35000,65450.97
325,2025-02-15,Tornillos (caja),4,1200,4914.92
326,2025-02-15,Pinza,4,2200,9526.58
327,2025-02-16,Pinza,4,2200,9042.71
328,2025-02-16,Nivel,3,4200,13020.44
329,2025-02-16,Nivel,3,4200,13047.58
330,2025-02-16,Taladro,1,35000,34592.11
331,2025-02-16,Sierra,5,5800,27835.09
332,2025-02-17,Llave inglesa,4,3500,14966.85
333,2025-02-17,Pinza,4,2200,9421.87
334,2025-02-17,Destornillador,2,1800,3514.58
335,2025-02-17,Sierra,5,5800,27816.06
336,2025-02-17,Llave inglesa,1,3500,3834.56
337,2025-02-17,Cinta métrica,3,1500,4057.29
338,2025-02-17,Martillo,5,4500,23603.27
339,2025-02-17,Llave inglesa,2,3500,7149.89
340,2025-02-17,Sierra,2,5800,11916.95
341,2025-02-18,Llave inglesa,2,3500,7179.55
342,2025-02-18,Martillo,3,4500,14279.25
343,2025-02-18,Martillo,5,4500,21891.88
344,2025-02-18,Taladro,1,35000,37867.39
345,2025-02-18,Sierra,4,5800,21694.97
346,2025-02-18,Taladro,5,35000,188176.12
347,2025-02-18,Sierra,5,5800,29010.41
348,2025-02-18,Llave inglesa,2,3500,6659.76
349,2025-02-18,Nivel,3,4200,13221.33
350,2025-02-18,Sierra,1,5800,5763.26
351,2025-02-18,Destornillador,2,1800,3782.99
352,2025-02-18,Pinza,4,2200,9622.39
353,2025-02-19,Sierra,1,5800,6137.19
354,2025-02-19,Martillo,3,4500,13598.75
355,2025-02-19,Nivel,3,4200,13035.53
356,2025-02-19,Llave inglesa,5,3500,17083.59
357,2025-02-19,Sierra,1,5800,6002.81
358,2025-02-19,Nivel,1,4200,4300.42
359,2025-02-19,Clavos (kg),3,2800,9097.63
360,2025-02-19,Pinza,1,2200,2259.58
361,2025-02-19,Nivel,3,4200,12976.08
362,2025-02-19,Destornillador,2,1800,3272.65
363,2025-02-19,Martillo,3,4500,14839.0
364,2025-02-20,Destornillador,2,1800,3878.83
365,2025-02-20,Taladro,4,35000,138702.03
366,2025-02-20,Clavos (kg),4,2800,11395.64
367,2025-02-20,Taladro,4,35000,144337.81
368,2025-02-21,Tornillos (caja),4,1200,5221.49
369,2025-02-21,Llave inglesa,1,3500,3633.2
370,2025-02-21,Pinza,4,2200,8702.66
371,2025-02-21,Pinza,3,2200,6071.15
372,2025-02-21,Sierra,5,5800,31329.84
373,2025-02-21,Sierra,1,5800,5681.84
374,2025-02-21,Pinza,1,2200,2397.56
375,2025-02-21,Nivel,1,4200,4336.73
376,2025-02-21,Tornillos (caja),1,1200,1092.14
377,2025-02-21,Sierra,2,5800,12734.06
378,2025-02-22,Pinza,1,2200,2345.12
379,2025-02-22,Clavos (kg),2,2800,5696.75
380,2025-02-22,Pinza,3,2200,6962.17
381,2025-02-22,Tornillos (caja),1,1200,1146.55
382,2025-02-22,Taladro,2,35000,70563.02
383,2025-02-22,Taladro,1,35000,36127.4
384,2025-02-22,Martillo,2,4500,8126.75
385,2025-02-22,Pinza,5,2200,10612.3
386,2025-02-22,Taladro,3,35000,95600.38
387,2025-02-22,Cinta métrica,5,1500,6920.47
388,2025-02-22,Destornillador,4,1800,7125.52
389,2025-02-22,Sierra,5,5800,29543.26
390,2025-02-23,Clavos (kg),2,2800,6098.87
391,2025-02-23,Martillo,5,4500,21607.34
392,2025-02-23,Martillo,1,4500,4948.73
393,2025-02-23,Cinta métrica,4,1500,6223.32
394,2025-02-23,Nivel,4,4200,15366.93
395,2025-02-23,Destornillador,3,1800,5516.96
396,2025-02-23,Destornillador,2,1800,3438.01
397,2025-02-23,Tornillos (caja),5,1200,6254.58
398,2025-02-23,Cinta métrica,5,1500,7545.84
399,2025-02-23,Nivel,5,4200,21442.79
400,2025-02-24,Destornillador,5,1800,9397.51
401,2025-02-24,Pinza,4,2200,8714.74
402,2025-02-24,Pinza,4,2200,8516.52
403,2025-02-24,Nivel,4,4200,16517.73
404,2025-02-25,Sierra,4,5800,22330.11
405,2025-02-25,Llave inglesa,3,3500,11452.54
406,2025-02-25,Nivel,1,4200,3856.63
407,2025-02-25,Destornillador,1,1800,1775.48
408,2025-02-26,Taladro,5,35000,159599.33
409,2025-02-26,Clavos (kg),5,2800,13523.01
410,2025-02-26,Destornillador,4,1800,6989.18
411,2025-02-26,Cinta métrica,1,1500,1640.52
412,2025-02-26,Tornillos (caja),3,1200,3493.19
413,2025-02-26,Tornillos (caja),5,1200,5655.29
414,2025-02-26,Nivel,2,4200,8983.42
415,2025-02-26,Sierra,5,5800,28231.85
416,2025-02-27,Tornillos (caja),2,1200,2547.47
417,2025-02-27,Clavos (kg),5,2800,14318.01
418,2025-02-27,Clavos (kg),1,2800,2861.04
419,2025-02-27,Llave inglesa,1,3500,3276.29
420,2025-02-27,Llave inglesa,3,3500,10187.15
421,2025-02-27,Taladro,2,35000,70928.5
422,2025-02-27,Cinta métrica,1,1500,1392.56
423,2025-02-28,Destornillador,5,1800,8487.24
424,2025-02-28,Cinta métrica,4,1500,5809.08
425,2025-02-28,Sierra,3,5800,18171.15
426,2025-03-01,Tornillos (caja),1,1200,1292.0
427,2025-03-01,Taladro,2,35000,73562.1
428,2025-03-01,Martillo,1,4500,4294.89
429,2025-03-01,Cinta métrica,4,1500,6128.49
430,2025-03-01,Cinta métrica,3,1500,4244.01
431,2025-03-01,Clavos (kg),1,2800,2713.3
432,2025-03-01,Destornillador,3,1800,5592.48
433,2025-03-01,Tornillos (caja),4,1200,4825.86
434,2025-03-01,Llave inglesa,1,3500,3304.36
435,2025-03-01,Tornillos (caja),1,1200,1081.84
436,2025-03-01,Llave inglesa,2,3500,7374.29
437,2025-03-01,Llave inglesa,3,3500,10139.06
438,2025-03-02,Nivel,4,4200,15710.33
439,2025-03-02,Cinta métrica,5,1500,7805.51
440,2025-03-02,Clavos (kg),5,2800,14933.39
441,2025-03-03,Destornillador,4,1800,7720.94
442,2025-03-03,Martillo,4,4500,16267.47
443,2025-03-03,Destornillador,3,1800,5481.82
444,2025-03-03,Tornillos (caja),4,1200,5001.12
445,2025-03-03,Cinta métrica,3,1500,4153.66
446,2025-03-03,Martillo,3,4500,12614.06
447,2025-03-03,Tornillos (caja),4,1200,5118.74
448,2025-03-03,Sierra,1,5800,5726.59
449,2025-03-04,Pinza,4,2200,8956.41
450,2025-03-04,Clavos (kg),1,2800,2741.63
451,2025-03-04,Llave inglesa,3,3500,9915.3
452,2025-03-04,Taladro,1,35000,35073.38
453,2025-03-05,Clavos (kg),5,2800,13142.93
454,2025-03-05,Sierra,3,5800,18191.28
455,2025-03-05,Taladro,2,35000,64439.26
456,2025-03-05,Llave inglesa,2,3500,6542.9
457,2025-03-06,Destornillador,2,1800,3924.93
458,2025-03-06,Nivel,4,4200,17654.94
459,2025-03-06,Tornillos (caja),4,1200,4973.89
460,2025-03-06,Tornillos (caja),5,1200,5787.85
461,2025-03-06,Sierra,2,5800,11460.25
462,2025-03-07,Nivel,3,4200,13346.75
463,2025-03-07,Tornillos (caja),1,1200,1164.47
464,2025-03-07,Destornillador,3,1800,5358.68
465,2025-03-07,Martillo,1,4500,4381.86
466,2025-03-07,Llave inglesa,1,3500,3601.27
467,2025-03-07,Destornillador,5,1800,9169.34
468,2025-03-07,Cinta métrica,4,1500,6096.4
469,2025-03-07,Martillo,4,4500,19472.58
470,2025-03-07,Tornillos (caja),2,1200,2314.33
471,2025-03-07,Nivel,5,4200,19533.62
472,2025-03-08,Nivel,1,4200,4461.21
473,2025-03-08,Sierra,1,5800,5805.28
474,2025-03-08,Taladro,1,35000,33234.21
475,2025-03-09,Nivel,5,4200,21095.54
476,2025-03-09,Taladro,3,35000,102329.89
477,2025-03-09,Llave inglesa,4,3500,13744.55
478,2025-03-09,Sierra,5,5800,26403.72
479,2025-03-09,Sierra,1,5800,5602.44
480,2025-03-09,Clavos (kg),4,2800,10716.49
481,2025-03-09,Tornillos (caja),2,1200,2320.01
482,2025-03-09,Tornillos (caja),2,1200,2600.04
483,2025-03-09,Llave inglesa,4,3500,12961.06
484,2025-03-09,Destornillador,3,1800,5463.64
485,2025-03-10,Taladro,5,35000,160770.85
486,2025-03-10,Cinta métrica,5,1500,7292.74
487,2025-03-10,Sierra,3,5800,16287.31
488,2025-03-10,Pinza,3,2200,7190.92
489,2025-03-10,Nivel,2,4200,7940.59
490,2025-03-10,Taladro,2,35000,64080.31
491,2025-03-10,Destornillador,5,1800,9487.57
492,2025-03-10,Clavos (kg),1,2800,2890.68
493,2025-03-11,Taladro,5,35000,170685.2
494,2025-03-11,Taladro,2,35000,74638.83
495,2025-03-11,Tornillos (caja),2,1200,2506.17
496,2025-03-11,Martillo,4,4500,17511.48
497,2025-03-11,Pinza,4,2200,8994.65
498,2025-03-11,Nivel,2,4200,8457.14
499,2025-03-11,Llave inglesa,4,3500,15131.13
500,2025-03-11,Pinza,3,2200,6835.37
501,2025-03-11,Tornillos (caja),4,1200,4763.21
502,2025-03-11,Llave inglesa,4,3500,14008.14
503,2025-03-11,Cinta métrica,2,1500,3190.13
504,2025-03-11,Tornillos (caja),2,1200,2579.04
505,2025-03-12,Nivel,3,4200,12737.44
506,2025-03-12,Destornillador,5,1800,9632.1
507,2025-03-12,Llave inglesa,1,3500,3684.18
508,2025-03-13,Nivel,5,4200,19518.86
509,2025-03-13,Cinta métrica,1,1500,1633.92
510,2025-03-13,Pinza,4,2200,9476.95
511,2025-03-13,Martillo,4,4500,16391.72
512,2025-03-13,Clavos (kg),3,2800,7956.11
513,2025-03-13,Destornillador,3,1800,5102.5
514,2025-03-13,Sierra,1,5800,6193.44
515,2025-03-14,Taladro,2,35000,63536.24
516,2025-03-14,Nivel,2,4200,8834.85
517,2025-03-14,Nivel,4,4200,17187.57
518,2025-03-14,Destornillador,1,1800,1712.13
519,2025-03-14,Taladro,5,35000,190407.91
520,2025-03-14,Tornillos (caja),5,1200,5907.91
521,2025-03-14,Llave inglesa,2,3500,6721.61
522,2025-03-14,Martillo,2,4500,8855.69
523,2025-03-15,Nivel,1,4200,3873.12
524,2025-03-15,Nivel,5,4200,21151.43
525,2025-03-15,Clavos (kg),5,2800,13277.43
526,2025-03-15,Taladro,3,35000,103514.02
527,2025-03-15,Tornillos (caja),3,1200,3413.21
528,2025-03-15,Cinta métrica,2,1500,3098.62
529,2025-03-15,Destornillador,5,1800,9854.38
530,2025-03-15,Destornillador,5,1800,9079.35
531,2025-03-15,Clavos (kg),5,2800,12656.94
532,2025-03-15,Nivel,1,4200,4313.96
533,2025-03-15,Sierra,3,5800,18260.66
534,2025-03-15,Sierra,1,5800,5619.97
535,2025-03-16,Tornillos (caja),3,1200,3336.05
536,2025-03-16,Sierra,5,5800,28063.57
537,2025-03-16,Taladro,4,35000,153462.94
538,2025-03-16,Nivel,2,4200,8923.32
539,2025-03-17,Nivel,1,4200,4026.49
540,2025-03-17,Martillo,2,4500,9694.42
541,2025-03-17,Sierra,3,5800,17453.53
542,2025-03-17,Clavos (kg),4,2800,10647.42
543,2025-03-18,Llave inglesa,3,3500,11260.49
544,2025-03-18,Martillo,3,4500,12887.68
545,2025-03-18,Sierra,4,5800,25007.22
546,2025-03-18,Nivel,4,4200,16259.16
547,2025-03-18,Taladro,4,35000,145377.92
548,2025-03-18,Sierra,5,5800,27646.98
549,2025-03-19,Cinta métrica,1,1500,1479.18
